Name,Title,Reviews,Rating,Date of Experience
Lee ,Lovely hotel but .....,Couldn't fault the hotel or the resort (although we already knew this as we had been there several times before).My major complaint was being allocated seats by Ryanair nowhere near my partner (25 rows apart on the return journey !) I guess this is the price you pay for a late booking. Won't be doing it again.,Rated 3 out of 5 stars,19 May 2023
Frances,Overall a great experience and glad we…,Overall a great experience and glad we booked through last-minute. hotel was lovely and transfers etc were all grand. Only hotel feedback was that reception seemed a little disorganised which led to extra waiting but overall not a huge deal. The hotel recently opened so I'm sure it's just a teething thing. Hotel staff all very friendly. Breakfast was excellent.,Rated 5 out of 5 stars,07 April 2023
赵磊,A decent traveling agency,"I felt a bit surprised when I saw lastminute.com has such a low review score here after booking a flight ticket to Asia, but eventually nothing bad happened to me. everything went well as expected, and the price is lower than average. I am pretty happy with my experience with lastminute.com, it's a decent traveling agency.",Rated 5 out of 5 stars,22 May 2023
Ola Zaid,A follow-up email would be good!,"It would have been helpful for Lastminute.com to send me a confirmatory email and itinerary after I had booked my flight tickets, instead I received nothing. It seemed I had to sign up and create an “area profile” on the website but instead I randomly stumbled upon by booking details without having to do all of that. Would much rather prefer just a straight and simple email with my booking details!",Rated 4 out of 5 stars,19 May 2023
raj darji,I booked international flight ticket…,"I booked international flight ticket from Last Minutes.com, ticket was cheap but when I click to pay it has automatically included £18 premium service without my consent. I never selected any other services apart from ticket but even though they forcefully included premium service. When I complained they said I can cancelled that after four days.  This is cheating will never trust them",Rated 1 out of 5 stars,23 May 2023
CompleteSavings member,I got trasferred to last minute from…,"I got trasferred to last minute from booking.com when searching for accomodation/flight packages (I have no idea why). I chose the free cancellation option and just 2 days after booking, I cancel due to change of plans because expecting a full refund and they charge me the full amount instead!. There is no number to call and the chat agents are dumb and useless, acting like robots. Will be taking the matter to court with the help of a lawyer and I have initiated the process.",Rated 1 out of 5 stars,23 May 2023
PJMBARCA,Warning. Never use this company,Never use this company. They will never refund you. We eventually gave up even getting a response. Everyone must see all reviews posted here and also generally online. Lastminute is the worst travel group and effectively got away with robbery¡ with many 1000´s of customers. My air tickets were refunded to Lastminute (i verified with the airline) but Lastminute just refuse to even correspond after I sent them proof of correspondence.,Rated 1 out of 5 stars,13 April 2023
Adam Johnson,Refund fraudsters and extorters!,"Please be warned that this company is great if you don't have to deal with their customer service. As soon as you need to make a claim, refund, or help they will simply pass you from pillar to post until you get bored of chasing. Months will pass for 'an escalated refund' just to be told that their terms and conditions mean you're not entitled to a protected no-fuss refund but only a little bit of it. CEO or any c-suite member are uninterested in getting involved to help you and leave you high and dry in the gutter once they have your money. Future customers beware.",Rated 1 out of 5 stars,04 April 2023
Jayne Adair,Failure to communicate,Last minute.com failed to pass on the airline notifications of significant flight changes. I only became aware when checking in online-too late to make other arrangements.we missed the interview which was the purpose of the trip.lesson learned never book through last minute.com,Rated 1 out of 5 stars,17 May 2023
Borislav Pavlov,It actually costs more...,"I booked international flight ticket from Last Minutes.com, ticket was cheap but when I click to pay it has automatically included 90$ ""FullFlex"" service without my consent. I never selected any other services apart from ticket but even though they forcefully included this service. I requested cancellation of ""FullFlex"", but without success!",Rated 1 out of 5 stars,22 May 2023
Edward,The final price for the flights was far…,The final price for the flights was far more than initially quoted. Please be more transparent about this. It is also unacceptable that we are not able to leave a review without having a trust pilot account forced on us. Why???,Rated 2 out of 5 stars,19 May 2023
